ID,LogFC_x_Cha,LogFC_x_Man,LogFC_x_Kow,LogFC_x_Nor,LogFC_x_Mar,LogFC_x_Wah,LogFC_x_Fla,LogFC_x_Laz,LogFC_x_Ber,LogFC_x_Gro,LogFC_x_Sun,LogFC_x_Kir,Mean,Stdev,Gene,Counts
333,,,,1.252703384,0.8177557232,1.1294681773,,,0.5710012587,,0.5267033356,,0.85952637576,0.32527659102613643,Abcb1b,5
334,,,,1.6373374837,2.5880850499,2.3067655507,,,2.231535968,,1.4287955007,,2.0385039106,0.48578389191645815,Aspa,5
335,,,,2.7492861443,10.4171402694,,,2.2376049548,1.1638452527,,5.7889542705,,4.47136617834,3.7410964784237657,Mab21l2,5
336,,0.6639347549,0.5309406043,0.6462595388,0.5621268704,,,,,,0.7223736642,,0.62512708652,0.0778614686463656,Tmem176a,5
337,,,,1.7314293682,6.0820278678,1.4264780967,,,1.2203189988,,1.6307904018,,2.41820894666,2.0575309017745655,Zswim5,5
338,2.2680637361,,,2.5383620661,,2.3592088902,,,2.694994289,0.7786868848,,,2.12786317324,0.7719457136634026,Bmpr1a,5
370,,0.4508591226,,,2.1172646041,,,1.7152980199,2.5646221613,,3.078955288,,1.98539983918,0.9970607476394843,Klrb1c,5
371,,0.3544976378,,2.1382138016,1.1314254074,2.6009330149,,,,,1.1688820456,,1.47879038146,0.8908960534342014,Runx1t1,5
383,,,0.5520096425,,0.9239820739,,,1.5240008922,1.9294713563,,1.7164323042,,1.32917925382,0.5736829184061396,Gem,5
384,-4.5077064349,,-0.4286156366,,-1.412204354,-0.9789671536,,,,,-1.0487629282,,-1.6752513014600001,1.6219891766601475,Anxa6,5
388,,0.4704741336,,0.7715388808,0.5932819609,0.6665369472,,,,,0.660624792,,0.6324913429000001,0.11076073725902191,Procr,5
389,,0.2757615146,0.3276185809,1.4296863465,,1.0848962047,,,,,1.1305167018,,0.8496958697,0.5178160459924334,Lpar6,5
390,2.3454013386,,,2.7701100368,9.5582669666,2.4678104652,,,,,3.0835573808,,4.0450292376,3.095237931384522,Cntn1,5
391,,,-0.5430560961,,-0.7085967249,-0.8982516634,,,-0.8096042617,,-0.7724538007,,-0.74639250936,0.13276891342322433,Il15,5
392,2.1754744276,,,1.2245988529,0.9849678201,1.3548150291,,,,,1.0769061406,,1.36335245406,0.47541928102417885,Ghr,5
393,,,,2.5896349523,3.508899441,3.7102869621,,1.3753995384,,,3.042865145,,2.8454172077599997,0.9291892385510623,Tc2n,5
395,3.630023083,,,2.5616350582,,2.8775672138,,,0.95358306,,0.702120913,,2.1449858656,1.2665807746765352,Tmem56,5
396,,,,1.0800487712,1.0239132311,0.8820146034,,,0.6584869767,,0.9972205941,,0.9283368353,0.16722815740007566,Slamf1,5
397,,,-0.5259276793,-1.3137151427,,-1.8212467322,-1.15496195666667,,-0.7923277324,,,,-1.1216358486533342,0.49768778654854207,Rnase6,5
398,,,,1.3237147435,1.6476688014,2.0127103958,,,0.8925283238,,0.7407395395,,1.3234723607999999,0.5257001911222449,Abcb1a,5
402,,,0.3060415852,0.8216941449,1.5759565089,1.0515653416,,,,,0.9189079748,,0.93483311108,0.4563711328312602,Rbpms2,5
403,1.8723759763,,,0.9042368077,0.8267959627,0.7520230432,,,,,1.0011113865,,1.0713086352799999,0.4572415309544142,Cytip,5
406,2.6069178751,,,0.691935429,0.6135927265,0.7737871318,,,,,0.9888436052,,1.13501535352,0.8346481918581876,Lamp2,5
410,,,,-1.1780922846,-1.3470357199,-1.481303377,,,-1.1214607369,,-1.6342750571,,-1.3524334351,0.21202271176558685,Hnf4a,5
412,,,,-1.5826873898,-1.5561417458,-1.403637938,,,-1.5082036618,,-0.7447813761,,-1.3590904223,0.35014985062137244,Rassf4,5
414,1.7804019404,,,0.9603834787,1.4993421948,1.2543653208,,,,,0.843667042,,1.26763199534,0.3843652463419551,Thbd,5
415,,,,2.2791951887,1.1456987265,1.2719593666,,1.6324696599,,,1.0398538594,,1.47383536022,0.5026272984546887,Vldlr,5
424,,,,1.6746469698,3.14482094,2.3733465145,,1.1799329082,,,1.5858254103,,1.9917145485599999,0.7745264006298872,Maf,5
428,,,,1.3791625772,9.734428239,2.0427969883,,,1.0277102663,,4.7071688796,,3.7782533900799997,3.628768246398329,Gipc2,5
429,3.045017638,,,1.7530671354,2.6967878145,1.6392377002,,,,,1.0453298447,,2.03588802656,0.8175658615536736,Cyb561,5
430,,-0.3095498458,-0.6385565491,,-2.2111738321,-2.0339490102,-1.62978191555834,,,,,,-1.364602230551668,0.8478364699985984,Plac8,5
431,,,0.3728385986,0.7175837068,1.4091624617,,,,0.6553677807,,0.7821723312,,0.7874249757999999,0.3810458835368705,Npdc1,5
432,0.9289343663,,,,0.771888284,0.7006104939,,,,,0.8747148427,,0.8190369967250001,0.10234792304504652,Ndn,4
435,,,,1.1041342143,0.8897849533,,,,1.2539522356,,1.0546001376,,1.0756178851999998,0.15010212728967434,Bcl6,4
436,,,-0.5133674617,-0.811970395,,-0.8149997931,-1.11722637108334,,,,,,-0.8143910052208351,0.2465296889135535,Mamdc2,4
437,,,,1.9610452641,4.189301161,1.7164435071,,,,,2.2445063393,,2.527824067875,1.1284726688635651,Chrna7,4
438,1.761173315,,,1.7277612256,,1.4009101383,,,1.4773619246,,,,1.591801650875,0.17954366886725442,Mmp14,4
