,Gene,Counts,LogFC_Chamb,Adj.P.Val_Chamb,LogFC_Mann_,Adj.P.Val_Mann_,LogFC_Redmo,Adj.P.Val_Redmo,LogFC_Kotov,Adj.P.Val_Kotov,LogFC_Kowal,Adj.P.Val_Kowal,LogFC_Herau,Adj.P.Val_Herau,LogFC_Itoka,Adj.P.Val_Itoka,LogFC_Kim_v,Adj.P.Val_Kim_v,LogFC_Nordd,Adj.P.Val_Nordd,LogFC_Manse,Adj.P.Val_Manse,LogFC_Ali_D,Adj.P.Val_Ali_D,LogFC_Marya,Adj.P.Val_Marya,LogFC_Wahle,Adj.P.Val_Wahle,LogFC_Flach,Adj.P.Val_Flach,LogFC_Young,Adj.P.Val_Young,LogFC_Lazar,Adj.P.Val_Lazar,LogFC_Berse,Adj.P.Val_Berse,LogFC_Grove,Adj.P.Val_Grove,LogFC_Sun_G,Adj.P.Val_Sun_G,LogFC_Kong_,Adj.P.Val_Kong_,LogFC_Kirsc,Adj.P.Val_Kirsc,LogFC_Meng_,Adj.P.Val_Meng_
86,Ehd3,14,,,0.7110352924,9.99940055816906e-05,1.88293315674973,4.9170076667247e-17,1.8844717253186,2.23956863849837e-47,0.7457582681,1.0868515257568e-20,0.283370224375093,1.75418615613573e-168,1.43412581982441,2.22987694020305e-22,2.78863705681488,1.20113054751865e-32,2.2604275388,0.0019019739,2.73907047043665,1.4500133116715e-06,3.27991291294308,4.68447722853134e-07,,,2.1004967086,0.0019545477,,,1.8545702194367,1.44779790714108e-08,,,1.6302952059,0.0005580132,,,,,1.99721394621753,9.33969449663614e-05,,,,
88,Mt2,13,,,,,2.99340087739733,7.01588495989232e-06,2.18157270023104,1.18352813033637e-16,0.2640402358,7.06058905913804e-08,0.350371849263029,4.33472579700464e-187,4.71376238100172,4.6815014728095697e-26,,,2.2115480237,0.0105415824,,,6.13023960340839,6.80010295758387e-11,5.5227122555,4.29912118729587e-14,3.3282775454,0.0002164155,,,3.96053352166081,4.34427858940359e-07,2.0554980914,4.10375710215875e-06,5.0010008487,8.5025537713561e-05,,,,,,,,,5.66077171455819,0.0006675692136404
89,Gda,13,,,0.7030035224,4.86256229670187e-12,2.13759303993211,1.04899562498634e-07,1.22979555106133,8.09730720348736e-16,,,0.418009160444572,7.550915961782289e-246,1.61198189728915,4.6612462556884294e-18,2.01559767046927,9.06258440455726e-26,2.4684781827,0.0008706475,1.34716765054716,0.0005270779673626,,,,,1.8880742376,0.0091840314,1.283180305875,0.0267277844505236,1.31694549494557,5.95614958969313e-06,,,,,,,,,1.69895297689426,1.05103996327478e-05,,,3.43455360093344,0.0002113611028276
95,Matn4,13,,,0.4436402796,0.022257729,,,3.29989963578876,1.0696999361058901e-63,,,0.35203046430992,0.0,3.3403552491281,5.5117594842365e-34,3.74657441373602,2.1586101679284e-11,,,3.47131423018045,0.0001411279951368,4.28035062556309,3.96825410162994e-07,9.2148821699,3.19978319625341e-66,2.2467317957,0.029297856,,,,,1.0492016712,2.60798603952726e-05,1.0158998486,0.0175474854,,,2.7551222234,1.95169396457907e-73,4.4576034429385,4.50839130802032e-05,,,,
96,Plscr1,13,1.41298487,0.0275715227,0.574496069,5.36532054349668e-05,0.924022068327699,2.7327509884266902e-09,0.809467783365057,2.40843156529908e-08,,,0.285410283886883,1.06528180308284e-98,1.06453089617445,9.8512154059402e-16,0.905310930315391,6.87629572800625e-06,1.0727891769,0.0134169258,,,,,1.0918935491,2.01875780882007e-11,,,,,,,0.8979035646,5.84251056639279e-05,,,,,0.882167166,1.2945919813407e-09,1.1148885722894,0.0005107855640566,,,1.98578118271743,2.3331203885340397e-11
98,Trpc1,13,2.686629888,0.0277698332,,,,,1.66525429869159,0.001905028119978,,,,,3.58866044313266,2.22942688900167e-14,,,3.3960657234,0.0008706475,,,2.55947503964058,1.73986161505551e-06,3.3173993219,2.78767822488653e-05,3.0211295632,0.0013120817,1.448517502825,0.0356750159225802,4.06320320029942,7.4092051310893e-05,1.0466777286,5.42027914414307e-07,2.1428738385,5.88805041050314e-05,,,3.1888756723,2.27869164521944e-51,3.01115266862356,0.0002020421082583,,,,
99,Efna1,13,1.6112084366,0.0193631309,,,1.38217466080849,2.98870315781374e-06,0.701574612850124,5.96281884486314e-05,0.5907907925,2.16017494718591e-08,,,0.614277070804105,0.0019429512421762,2.10144515103301,1.57846934207172e-08,0.5998885412,0.0488173362,2.17189580850379,1.7889762838114e-06,3.78582678976264,1.25000741646128e-06,1.4519566789,1.93637598502913e-12,0.9493140434,0.0402857479,,,,,,,,,,,1.0213190245,4.66491163228412e-10,,,,,2.33422532996656,4.92356794435324e-09
100,Neo1,13,4.3419325384,0.0182355882,,,,,0.744824564484803,0.0002667330518115,,,,,0.870537743334862,4.4814096042948e-05,2.41437687554657,7.54990285434403e-06,2.1909954301,0.0062344441,,,3.68369168586794,9.15966820113019e-07,1.2585242198,7.93549785762827e-05,2.4010622502,0.0030769717,,,2.24158621555084,1.06030241912822e-08,1.1110015858,1.67211475845921e-06,1.25983476,0.0292512601,0.4451011839,0.0013221255,1.766811928,2.22121557093385e-33,,,,,,
104,Wwtr1,13,6.7211267021,0.0196017231,,,,,2.52659668657126,1.4505768561446902e-15,,,,,2.5628353130186,8.98502163486336e-31,2.80383994574614,5.00822693965815e-07,3.5966094884,0.0003568728,,,4.20857775704977,3.49223617336273e-08,3.9106670363,5.54643743071128e-45,3.8678705781,0.0001410253,,,5.00957677564557,3.6389153756651897e-16,0.9645754701,5.2637637178447e-06,1.3963292557,0.0060446465,,,2.000249965,7.10407545809869e-32,3.0380042052112,1.66860022155888e-07,,,,
110,Ramp2,13,,,,,2.6703697693623,1.71653399505648e-08,2.19566730243048,1.59512648679787e-14,,,,,2.27290735556973,7.7845392431765e-25,4.49995159605591,1.4402091198819799e-26,3.3213416222,0.0018015567,5.61780998799961,6.090276509617141e-14,3.34101485614307,4.86689233184137e-07,1.8860884016,3.80683892601004e-06,2.3595337011,0.0012899569,,,,,2.5842506327,9.880301793772951e-17,2.0128704187,0.0314441175,,,3.3689378746,1.73755798183219e-50,,,,,6.43032164482484,3.04706308609928e-20
