,Gene,Counts,LogFC_Cha,Adj.P.Val_Cha,LogFC_Man,Adj.P.Val_Man,LogFC_Kot,Adj.P.Val_Kot,LogFC_Kow,Adj.P.Val_Kow,LogFC_Her,Adj.P.Val_Her,LogFC_Nor,Adj.P.Val_Nor,LogFC_Ito,Adj.P.Val_Ito,LogFC_Man,Adj.P.Val_Man,LogFC_Red,Adj.P.Val_Red,LogFC_Mar,Adj.P.Val_Mar,LogFC_Wah,Adj.P.Val_Wah,LogFC_Fla,Adj.P.Val_Fla,LogFC_Ali,Adj.P.Val_Ali,LogFC_Laz,Adj.P.Val_Laz,LogFC_YoT,Adj.P.Val_YoT,LogFC_Ber,Adj.P.Val_Ber,LogFC_Gro,Adj.P.Val_Gro,LogFC_Rop,Adj.P.Val_Rop,LogFC_Sun,Adj.P.Val_Sun,LogFC_Deq,Adj.P.Val_Deq,LogFC_Kon,Adj.P.Val_Kon,LogFC_Kir,Adj.P.Val_Kir,LogFC_Men,Adj.P.Val_Men,LogFC_von,Adj.P.Val_von
90,Gda,15,,,0.7030035224,4.86256229670187e-12,1.22979555106133,8.09730720348736e-16,,,0.418009160444572,7.550915961782289e-246,2.4684781827,0.0008706475,1.61198189728915,4.6612462556884294e-18,1.34716765054716,0.0005270779673626,2.13759303993211,1.04899562498634e-07,,,1.8880742376,0.0091840314,1.283180305875,0.0267277844505236,0.509105653748259,4.87274745483098e-197,,,1.31694549494557,5.95614958969313e-06,,,,,,,,,1.74534626630464,2.8693643624803804e-111,1.69895297689426,1.05103996327478e-05,,,3.43455360093344,0.0002113611028276,2.01559767046927,9.06258440455726e-26
96,Cd38,15,,,0.3940426148,0.0195154329,1.35068166814088,9.33001472551217e-10,0.2652300023,2.40425759558962e-15,,,2.7694661174,0.0092174321,1.10849428874071,8.45809063821593e-10,2.13983299773744,8.07938693560574e-05,1.48575434114051,3.98725605058166e-08,1.9330915802,3.8712531792655603e-19,2.6790982474,0.0001410253,,,,,1.2545003703,1.8786386170247e-07,,,1.2605053759,0.0483470472,,,,,2.0358914966,2.31446985273986e-24,1.83596251061704,1.23203804883695e-94,,,,,2.92387329090781,6.67955599544718e-08,1.66412947983305,0.0003819427791817
97,Fhl1,15,1.9703424874,0.0262019668,,,1.18382679674627,1.4461078418724001e-16,0.451518039,1.86120973006484e-14,0.31211628539368,2.19533779574223e-147,1.1289653595,0.0037795779,0.536348504424197,0.0003470553458979,,,0.779932142331557,8.45213372390091e-05,1.4923281017,4.617964090093481e-25,1.3825782391,0.0039253608,,,,,,,,,1.1091491177,0.0089480583,0.9138874989,0.0037761759,,,1.0981558009,1.4289024035829e-14,1.0521539855475,1.56528278300351e-48,,,,,1.80318483041324,1.88723523953197e-06,1.10910459707307,4.31469781444026e-06
98,Itgb3,15,,,0.5188731381,0.0005793044,1.7238209085486,1.28160406480794e-25,,,,,1.6329878179,0.0097586248,1.21963312622357,2.1101389182499e-13,,,1.47571112042948,6.87862400572662e-09,2.0552694542,6.18705261977796e-35,1.5307195645,0.0192765568,1.349370160825,0.0176490358876255,,,1.1363894196,2.07546851526386e-08,,,0.9727978893,0.0079141983,0.6499532281,1.07668648474661e-05,,,1.457893731,1.80233745930007e-18,1.33709568574739,1.8065725405076801e-68,1.75217956564782,2.347547280106e-05,,,,,1.61698315195948,6.5608077201654e-20
99,Mt2,15,,,,,2.18157270023104,1.18352813033637e-16,0.2640402358,7.06058905913804e-08,0.350371849263029,4.33472579700464e-187,2.2115480237,0.0105415824,4.71376238100172,4.6815014728095697e-26,,,2.99340087739733,7.01588495989232e-06,5.5227122555,4.29912118729587e-14,3.3282775454,0.0002164155,,,0.283774345549659,5.43457750905069e-114,2.0554980914,4.10375710215875e-06,3.96053352166081,4.34427858940359e-07,5.0010008487,8.5025537713561e-05,,,7.06927709712225,2.68946438152055e-10,,,1.62796258066055,6.4509127204476e-52,,,,,5.66077171455819,0.0006675692136404,,
100,Wwtr1,14,6.7211267021,0.0196017231,,,2.52659668657126,1.4505768561446902e-15,,,,,3.5966094884,0.0003568728,2.5628353130186,8.98502163486336e-31,,,,,3.9106670363,5.54643743071128e-45,3.8678705781,0.0001410253,,,,,0.9645754701,5.2637637178447e-06,5.00957677564557,3.6389153756651897e-16,1.3963292557,0.0060446465,,,8.74589807384236,9.19965026809097e-12,2.000249965,7.10407545809869e-32,1.86402489295747,5.50845779606701e-105,3.0380042052112,1.66860022155888e-07,,,,,2.80383994574614,5.00822693965815e-07
106,Npdc1,14,,,,,0.840118787609636,1.9821150626303803e-09,0.3728385986,0.0014488882,0.337345614099242,3.56053493666065e-165,0.7175837068,0.0211228199,0.819445752639222,2.39753455601526e-07,,,1.10152280417299,5.4145323042655e-05,1.4091624617,4.26508569481072e-20,,,,,0.262601427267122,9.95261822436765e-52,,,,,0.6553677807,0.0490815805,,,,,0.7821723312,1.49115411359576e-08,0.967197134932233,1.03615775291687e-22,1.25656094863599,0.0014309086967728,,,2.53175387340266,1.3564767210271e-09,1.62287572207543,1.85446427300575e-14
107,Plscr1,14,1.41298487,0.0275715227,0.574496069,5.36532054349668e-05,0.809467783365057,2.40843156529908e-08,,,0.285410283886883,1.06528180308284e-98,1.0727891769,0.0134169258,1.06453089617445,9.8512154059402e-16,,,0.924022068327699,2.7327509884266902e-09,1.0918935491,2.01875780882007e-11,,,,,,,0.8979035646,5.84251056639279e-05,,,,,,,,,0.882167166,1.2945919813407e-09,0.789995343133624,5.93921591154372e-29,1.1148885722894,0.0005107855640566,,,1.98578118271743,2.3331203885340397e-11,0.905310930315391,6.87629572800625e-06
109,Tdrd9,14,,,,,4.33211962038158,1.15903348425555e-41,,,,,4.3910289081,0.0018015567,4.45981944699788,1.09555795383547e-16,,,,,4.9083116096,4.09225929660441e-33,3.559316578,0.0001558626,1.24382672094999,0.0071459567806062,,,0.919707332,3.58831380956867e-06,3.73547772370803,8.43433127401003e-06,1.8682448217,5.88805041050314e-05,,,11.0491381596748,2.84170995464781e-12,3.9651667054,7.56412397105979e-88,3.90533259504738,2.7257488902870803e-235,3.85473935914785,1.01754353372608e-05,,,,,3.21007797193222,3.94315311802114e-05
110,Trim47,14,,,,,0.931657796627616,9.152324677415761e-10,0.4278308161,1.05402200825048e-09,0.414582259564889,3.2911076058774804e-188,1.2997258534,0.0055530539,0.63366195713242,3.67018292677919e-06,1.52250402334621,5.2089054245956e-05,1.30628778369152,7.19849826865903e-12,,,1.2294087157,0.0046040518,,,0.531236083196129,1.86847021790913e-151,,,1.13169879948055,3.68535999140137e-05,1.0701596498,0.0469325671,,,,,1.0431059477,4.0173072522984495e-11,1.11322331337318,1.88751289265663e-32,,,,,,,1.94354284370789,1.9928415041321e-40
